Gender,FINAL STUDENT WEIGHT,National Centre 6-digit Code,Out-of-School Study Time - Homework,Out-of-School Study Time - With Parent,Out-of-School Study Time - Computer,OECD country,No of ALL <class period> a week,Student-Teacher Relation - Get Along with Teachers,Mother<Highest Schooling>,Father<Highest Schooling>,Truancy - Late for School,Truancy - Skip whole school day,Truancy - Skip classes within school day,father Highest Schooling
Male,8.0381,Canada ,1.0,0.0,0.0,OECD,25.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,Five or more times  ,Three or four times  ,2.0,level 3
Male,121.2506,Republic of Korea,0.0,0.0,0.0,OECD,35.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",Three or four times  ,None  ,1.0,level 3
Female,28.0203,Australia,2.0,0.0,0.0,OECD,20.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,1.0,Qatar,1.0,1.0,1.0,Non-OECD,30.0,Strongly agree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,5.9429,Mexico ,3.0,3.0,4.0,OECD,35.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,2.8296,Latvia ,,,,Non-OECD,35.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,2.0,level 3
Female,9.1358,Jordan ,5.0,1.0,2.0,Non-OECD,35.0,Agree,<ISCED level 2> ,"<ISCED level 3B, 3C> ",One or two times  ,None  ,2.0,level 3
Male,2.3677,Estonia,10.0,0.0,3.0,OECD,33.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,One or two times  ,1.0,level 3
Male,15.03,China (Shanghai) ,20.0,0.0,1.0,Non-OECD,43.0,Agree,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,1.087,Belgium,15.0,1.0,0.0,OECD,33.0,Agree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,1.1667,Iceland,3.0,3.0,0.0,OECD,35.0,Agree,<ISCED level 2> ,"<ISCED level 3B, 3C> ",Three or four times  ,None  ,1.0,level 3
Male,1.7334,Italy,5.0,0.0,2.0,OECD,36.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,One or two times  ,2.0,level 3
Female,4.6115,Italy,12.0,0.0,6.0,OECD,27.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,2.0,level 3
Male,16.5077,Switzerland,1.0,0.0,0.0,OECD,52.0,Strongly disagree,<ISCED level 2> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,136.8319,Thailand ,,0.0,5.0,Non-OECD,35.0,,<ISCED level 1> ,<ISCED level 1> ,None  ,None  ,1.0,level 1
Male,12.7919,New Zealand,3.0,1.0,,OECD,5.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,5.1855,Switzerland,9.0,0.0,0.0,OECD,32.0,,"<ISCED level 3B, 3C> ",<ISCED level 2> ,None  ,None  ,1.0,level 2
Male,53.148,Peru ,9.0,4.0,1.0,Non-OECD,30.0,,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Female,208.2551,Viet Nam ,,,,Non-OECD,27.0,Disagree,<ISCED level 2> ,<ISCED level 3A> ,None  ,One or two times  ,1.0,level 3
Male,19.5088,Jordan ,3.0,0.0,0.0,Non-OECD,35.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,149.4323,Japan,1.0,0.0,0.0,OECD,35.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,11.1268,Finland,1.0,1.0,1.0,OECD,33.0,,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",Three or four times  ,One or two times  ,2.0,level 3
Male,23.0406,Jordan ,15.0,0.0,4.0,Non-OECD,38.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,160.9083,Germany,7.0,1.0,0.0,OECD,34.0,Agree,<ISCED level 2> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,10.4531,Slovak Republic,4.0,2.0,1.0,OECD,33.0,Strongly agree,,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,8.4149,Jordan ,6.0,,,Non-OECD,35.0,,<ISCED level 2> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,92.0423,Malaysia ,10.0,2.0,1.0,Non-OECD,30.0,,<ISCED level 1> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,1.0417,Belgium,15.0,1.0,1.0,OECD,37.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,214.4741,Russian Federation ,6.0,2.0,2.0,Non-OECD,36.0,Agree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Male,16.4673,Mexico ,5.0,,1.0,OECD,29.0,,<ISCED level 3A> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Male,13.5495,Greece ,2.0,1.0,0.0,OECD,34.0,,"<ISCED level 3B, 3C> ",<ISCED level 2> ,None  ,Three or four times  ,1.0,level 2
Male,13.366,New Zealand,2.0,5.0,5.0,OECD,25.0,Agree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,1.0714,United Arab Emirates ,15.0,0.0,3.0,Non-OECD,35.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,117.7408,Republic of Korea,4.0,0.0,4.0,OECD,48.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,3.9146,Slovenia ,0.0,0.0,0.0,OECD,33.0,Disagree,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,171.435,United Kingdom (excl.Scotland) ,5.0,0.0,0.0,OECD,30.0,Strongly disagree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,172.6333,Japan,2.0,0.0,0.0,OECD,35.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,118.8304,Republic of Korea,2.0,10.0,2.0,OECD,45.0,,"<ISCED level 3B, 3C> ","<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Female,67.8862,Spain,25.0,0.0,1.0,OECD,30.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
Male,10.1342,Canada ,5.0,,,OECD,20.0,Agree,<ISCED level 2> ,<ISCED level 2> ,One or two times  ,Three or four times  ,2.0,level 2
Female,9.2547,United Kingdom (excl.Scotland) ,2.0,1.0,1.0,OECD,25.0,,"<ISCED level 3B, 3C> ",<ISCED level 3A> ,Three or four times  ,None  ,1.0,level 3
Male,1.0256,Luxembourg ,4.0,0.0,0.0,OECD,31.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,116.7003,Colombia ,16.0,,2.0,Non-OECD,13.0,,<ISCED level 3A> ,<ISCED level 3A> ,Five or more times  ,None  ,2.0,level 3
Male,3.0599,Denmark,10.0,2.0,0.0,OECD,31.0,Agree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",One or two times  ,None  ,1.0,level 3
Female,65.963,Mexico ,3.0,1.0,2.0,OECD,32.0,Strongly agree,"<ISCED level 3B, 3C> ",<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,1.0,Macao-China,30.0,0.0,1.0,Non-OECD,45.0,Agree,<ISCED level 2> ,<ISCED level 2> ,Three or four times  ,None  ,1.0,level 2
Female,1.9117,Estonia,2.0,0.0,1.0,OECD,35.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,One or two times  ,3.0,level 3
Female,18.617,Brazil ,5.0,0.0,0.0,Non-OECD,20.0,Strongly agree,<ISCED level 2> ,<ISCED level 3A> ,One or two times  ,None  ,2.0,level 3
Female,770.858,United States of America ,1.0,0.0,0.0,OECD,4.0,,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,122.3551,Republic of Korea,1.0,0.0,0.0,OECD,45.0,Strongly agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Male,112.5892,United Kingdom (excl.Scotland) ,5.0,0.0,0.0,OECD,27.0,Disagree,She did not complete <ISCED level 1> ,<ISCED level 3A> ,Five or more times  ,None  ,1.0,level 3
Female,7.0212,Thailand ,6.0,0.0,0.0,Non-OECD,40.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,None  ,None  ,1.0,level 3
Female,5.5293,Spain,1.0,2.0,0.0,OECD,30.0,,<ISCED level 2> ,<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,17.2964,Italy,30.0,0.0,0.0,OECD,27.0,Disagree,<ISCED level 3A> ,"<ISCED level 3B, 3C> ",None  ,None  ,1.0,level 3
Male,1.7198,Slovenia ,1.0,0.0,0.0,OECD,32.0,,"<ISCED level 3B, 3C> ",<ISCED level 2> ,None  ,None  ,1.0,level 2
Female,9.6526,Slovak Republic,5.0,2.0,3.0,OECD,30.0,Agree,<ISCED level 3A> ,<ISCED level 3A> ,One or two times  ,None  ,1.0,level 3
